 	616
-induced	110
in	46
activated	38
on	32
antagonist	20
GENE	19
is characterized detected report identified include mutations	18
is characterized detected report identified include mutations VARIANT deletions	15
CHEMICAL	15
induced	14
of	13
activate	13
responsible for phosphorylation of	12
is characterized detected report identified include mutations mutations	12
is characterized detected report identified include mutations VARIANT VARIANT VARIANT	12
inhibitor	12
induced revealed with signs of apoptosis as GENE cleavage staining	12
induced revealed with signs of apoptosis as GENE cleavage	12
induced revealed with signs of apoptosis as	12
demonstrate suggest contributing signaling	12
associated with	10
signaling promotes inhibits activity	9
is characterized detected report identified include mutations VARIANT deletions VARIANT	9
is characterized detected report identified include mutations VARIANT	9
induced by	9
with	8
of studies in used polymorphisms identifying resequenced genes	8
induce molecules signaling of class are	8
activation inhibits promotes signaling	8
activation inhibits activity	8
VARIANT	8
increased	7
gene	7
turnover depended on	6
subunits with accumulated	6
snp associated was DISEASE	6
reduced	6
patients in detected report identified include mutations	6
of studies in used polymorphisms identifying resequenced produced provided VARIANT	6
of studies in used polymorphisms identifying resequenced are	6
of regulation with associated	6
of prodrug is shown in	6
mutations in	6
mediates regulated by	6
is shown in	6
is characterized detected report identified include mutations VARIANT VARIANT VARIANT VARIANT	6
induced transcription of GENE GENE	6
induced transcription of GENE	6
induced transcription of	6
in patients	6
in induced	6
in cells	6
GENE GENE	6
with patients had GENE	5
patients in detected report identified include mutations VARIANT deletions	5
on activities	5
is	5
influencing in implicated polymorphisms influenced consist defined are was included GENE variants VARIANT	5
genes	5
exerts by binding to	5
comprising activate CHEMICAL	5
comprising activate	5
ameliorates	5
agonist	5
DISEASE	5
-related	5
-mediated	5
with treatment ameliorate DISEASE of matrix components including GENE	4
with interacts modulate secretion	4
were colocalized with GENE	4
were colocalized coimmunoprecipitated with	4
type of DISEASE associated with dysfunction of system	4
treatment induced increased increased demonstrated revealed decreased abundances	4
treatment for	4
stimulated were required action of GENE GENE GENE GENE	4
stimulated were required action of	4
reduces inhibition of	4
process in implicated following GENE GENE GENE GENE GENE GENE GENE	4
prevents	4
polymorphisms	4
patients in detected report identified include mutations mutations	4
patients in detected report identified include mutations VARIANT VARIANT VARIANT	4
partner	4
on production	4
of transcription induced in	4
of transcription induced	4
of blockade revealed with signs of apoptosis as GENE cleavage staining	4
of blockade revealed with signs of apoptosis as GENE cleavage	4
of blockade revealed with signs of apoptosis as	4
mutations associated with	4
models in effects exerts	4
mice displayed	4
mediates phosphorylation	4
led suppressed secretion of	4
induces	4
induced hypothesized prevent disrupting	4
in mutations of frequency analyzed conducted provided determined subgenotypes identified was treated varied detected found associated changes in gene	4
in induced revealed with signs of apoptosis as GENE cleavage staining	4
